title,url,image,openTypeList,detail,baseInfoKeyList,baseInfoValueList
矮丰一号,http://www.baike.com/wiki/矮丰一号,http://a2.att.hudong.com/42/35/50200009239445155503351653175_s.jpg,农业##小麦##种子,超高产、超大穗、高抗倒伏小麦新品种 矮丰一号,中文学名：,矮丰一号
北农9549,http://www.baike.com/wiki/北农9549,//www.huimg.cn/entry/images/summary_default270x233.png,农作物##小麦,北农9549是一种植物。冬性，中熟，成熟期比对照京冬8号晚2天。幼苗半匍匐，生长健壮，植株繁茂，分蘖力中等。株高83厘米，抗倒伏能力强。穗纺锤型，长芒，白壳，白粒，籽粒角质。成穗率中等，平均亩穗数40万穗，穗粒数28粒，千粒重45克。越冬百分率84.3％，抗寒性比对照京冬8号（越冬率96％）差。,中文学名：,北农9549
北麦7号,http://www.baike.com/wiki/北麦7号,//www.huimg.cn/entry/images/summary_default270x233.png,农作物##小麦##生物##种子##自然,北麦7号，春性，晚熟，生育期93天左右。幼苗直立，苗期发育较快，繁茂。株高100厘米左右。穗纺锤型，长芒，红粒，角质。平均亩穗数38.4万穗，穗粒数35.6粒，千粒重32.4克。抗倒性较好，熟相较好。适宜在东北春麦区的黑龙江北部、内蒙古呼伦贝尔市地区种植。,中文学名：##界：##门：##纲：##目：##科：##属：##种：##品种：,北麦7号##植物界##被子植物##单子叶植物##禾本目##禾本科##小麦属##普通小麦##北麦7号
北麦3号,http://www.baike.com/wiki/北麦3号,//www.huimg.cn/entry/images/summary_default270x233.png,农作物##小麦##生物##种子##自然,北麦3号，晚熟小麦品种，由黑龙江省农垦总局九三科学研究所选育。,中文学名：##界：##门：##亚门：##纲：##科：##属：##种：##品种：,北麦3号##植物界##种子植物门##被子植物亚门##单子叶植物纲##禾本科##小麦属##普通小麦##北麦3号
矮抗58,http://www.baike.com/wiki/矮抗58,http://a3.att.hudong.com/51/25/50200009239445155959252551164_s.jpg,小麦##种子,百农矮抗58是由河南科技学院小麦育种中心用周麦11x温麦6号X郑州8960选育而成的小麦品种，2003年开始开发经营的划时代小麦新品种。,中文学名：##别名：##界：##体征：##选育单位：##审定编号：##原名：,矮抗58##百农矮抗58##植物界##株高70cm左右，高抗倒伏，饱满度好。产量三要素协调，亩成穗45万左右，穗粒数38－40粒，千粒重4##河南科技学院##国审麦2005008##百农矮抗58
巴麦11号,http://www.baike.com/wiki/巴麦11号,//www.huimg.cn/entry/images/summary_default270x233.png,农业##农作物##小麦##生物##种子##自然,巴麦11号，以巴97-8360为母本，1608、96-4870、91L鉴37为父本，采用多亲本聚合杂交选育而成。,中文学名：##别名：##界：##门：##纲：##目：##科：##属：##种：##亚种：,巴麦11号##巴麦11号小麦##植物界##被子植物门(Angiospermae)##单子叶植物纲(Monocotyledoneae)##禾本目(Poales)##禾本科(Poaceae；Gramineae)##小麦属(Triticum)##小麦##巴麦11号
北农66,http://www.baike.com/wiki/北农66,//www.huimg.cn/entry/images/summary_default270x233.png,农业##小麦##种子,冬性，中熟。幼苗半直立，叶片灰绿色，分蘖力、成穗率中等。穗纺锤型，长芒，白壳，白粒。株高75～80厘米，株型较繁茂。每亩成穗42万，穗粒数30粒，千粒重42克左右。抗倒性较好。抗病性、抗寒性中等。品质中筋偏上。经农业部谷物品质监督检验测试中心检验，2001年，粗蛋白含量14.45%，湿面筋含量32.8%，干面筋含量10.6%，沉降值34.8mL，面团形成时间3.4分钟，稳定时间5.0分钟，面包体积780cm3 （面包重量158g），综合评分88.0；2002年，粗蛋白含量 14.13%，湿面筋含量32.3%，干面筋含量10.8%，沉降值32.2mL，面团形成时间3.4分钟，面团稳定时间3.2分钟。,,
北京841,http://www.baike.com/wiki/北京841,http://a0.att.hudong.com/03/02/50200009239445155862026784835_s.jpg,农业##农作物##小麦##植物##自然,北京841原代号CA841，组合为北京18号/丰抗4号//农大139，1992年8月，通过北京市农作物品种审定委员会审定，同年通过山西省农作物品种审定委员会认定，1996年6月，通过全国农作物品种审定委员会审定。北京841适宜于北京、天津、冀中、冀东、晋中、晋东南等地区中等至中上等肥力麦田种植。,中文学名：##界：##门：##亚门：##纲：##目：##科：##属：##种：##分布区域：##性情：##体征：##千粒重：##原代号：##审定时间：##株高：,北京841##植物界##种子植物门##被子植物亚门##单子叶植物纲##禾本目##禾本科##小麦属##小麦##北京、天津、冀中、冀东、晋中##冬性，中晚熟##短芒、白壳、白粒，穗大粒大##45克以上##CA841##1992年##95厘米左右
百农160,http://www.baike.com/wiki/百农160,http://a2.att.hudong.com/61/54/50200009239445156291542586146_s.jpg,农业##小麦##水稻,百农160,中文学名：,百农160
安麦7号,http://www.baike.com/wiki/安麦7号,http://a0.att.hudong.com/78/23/20300000822820132022237732082_s.jpg,农业##农作物##农资流通##小麦##种子,安顺市农科所于1992年用外引品系三属麦与8625杂交后，采用系谱法，经多代自交于2000年选育而成。,中文学名：##品种：##审定编号：##品种类别：##品种来源：,安麦7号##安97-12##黔审麦2008004号##小麦##安顺市农科所
