HudongItem,relation,NewNode
红顶乡,contains administrative territorial entity,红顶村
氯化镁,crystal system,六方晶系
红顶乡,contains administrative territorial entity,向秋村
红顶乡,contains administrative territorial entity,俄估村
红顶乡,contains administrative territorial entity,地入村
DDT,instance of,有机氯化合物
KCL,instance of,public research university
氯化镁,safety classification and labelling,NFPA 704: Standard System for the Identification of the Hazards of Materials for Emergency Response
红顶乡,located in time zone,东八区
普钙,described by source,亚美尼亚苏维埃百科全书
DDT,instance of,可燃固体
百治磷,instance of,Class IIIB combustible liquid
硝酸铵,subclass of,nitrogen fertilizer
DDT,instance of,职业致癌物
磷酸二氢铵,described by source,亚美尼亚苏维埃百科全书
分解作用,subclass of,生物过程
百治磷,has effect,Dicrotophos exposure
硝酸铵,part of,肥料炸弹
KCL,instance of,高等教育机构
DDT,instance of,杀虫剂
分解作用,follows,尸体腐败
印楝素,instance of,杀虫剂
KCL,part of,伦敦大学
分解作用,followed by,骨架化
稻麦立,subject has role,plant growth regulator
印楝素,subject has role,杀虫剂
田安,instance of,人类
KCL,founded by,乔治四世
DDT,instance of,内分泌干扰素
分解作用,topic's main category,Category:Decomposition
莠去津,instance of,Female reproductive toxicant
戊唑醇,instance of,杀真菌剂
杀虫脒,instance of,杀虫剂
杀虫畏,subject has role,乙醯胆碱酯酶抑制剂
西玛津,instance of,Female reproductive toxicant
KCL,founded by,第一代威灵顿公爵阿瑟·韦尔斯利
DDT,instance of,Female reproductive toxicant
分解作用,different from,分解
莠去津,instance of,Developmental Toxicant
戊唑醇,subject has role,Fungicides Industrial
田安,relative,王遂
杀虫脒,instance of,致癌物质
世高,instance of,人类
刘德军,instance of,人类
金贝,instance of,通货
杀虫畏,subject has role,杀虫剂
西玛津,instance of,Developmental Toxicant
KCL,rector,艾德·柏恩
DDT,instance of,Male reproductive toxicant
磷酸二氢铵,safety classification and labelling,NFPA 704: Standard System for the Identification of the Hazards of Materials for Emergency Response
莠去津,part of,atrazine metabolic process
田安,relative,齐王建
杀虫脒,subject has role,杀虫剂
六氯苯,instance of,杀真菌剂
氯氰菊酯,instance of,杀虫剂
甲胺磷,instance of,杀虫剂
磷酸氢二铵,safety classification and labelling,NFPA 704: Standard System for the Identification of the Hazards of Materials for Emergency Response
DDT,instance of,Developmental Toxicant
莠去津,part of,atrazine catabolic process
杀虫脒,subject has role,单胺氧化酶抑制剂
氰草津,instance of,Developmental Toxicant
六氯苯,instance of,Developmental Toxicant
氯氰菊酯,instance of,carbocyclic compound
寡雄腐霉,instance of,生物分类单元
医药,instance of,维基媒体消歧义页
速灭磷,instance of,杀虫剂
甲胺磷,subject has role,杀虫剂
硝酸铵,safety classification and labelling,NFPA 704: Standard System for the Identification of the Hazards of Materials for Emergency Response
KCL,located in the administrative territorial entity,南华克
DDT,instance of,致癌物质
莠去津,part of,atrazine catabolic process to urea
杀虫脒,subject has role,uncoupling agents
刘德军,occupation,人权护卫者
六氯苯,instance of,致癌物质
氯氰菊酯,instance of,神经毒素
硅藻土,described by source,Encyclopedia of Armenian Nature
胺菊酯,instance of,杀虫剂
烯啶虫胺,instance of,(EZ)-nitenpyram
四氟苯菊酯,instance of,杀虫剂
